INDEX;TIME_CUTTING;accuracy;precision;recall;F1;matrix;percentage_matrix;accuracy_validation;precision_validation;recall_validation;F1_validation;matrix_validation;percentage_matrix_validation;feature_importance
0;86400;97.68668831168831;99.20159680638723;90.36363636363637;94.57659372026642;[[1910, 4], [53, 497]];[[0.9979101358411703, 0.0020898641588296763], [0.09636363636363636, 0.9036363636363637]];91.84581171237954;81.91780821917808;66.00441501103754;73.10513447432763;[[2179, 66], [154, 299]];[[0.9706013363028954, 0.029398663697104678], [0.33995584988962474, 0.6600441501103753]];{'packet_value': 0.0, 'packet_value_x': 0.03264337033033371, 'packet_value_y': 0.032529719173908234, 'bytes_value': 0.0, 'bytes_value_x': 0.022254936397075653, 'bytes_value_y': 0.04142102226614952, 'duration_value': 0.06321393698453903, 'duration_value_x': 0.1410849541425705, 'duration_value_y': 0.0316384918987751, 'difftimes_value': 0.0, 'difftimes_value_x': 0.014123579487204552, 'difftimes_value_y': 0.005666911136358976, 'packet_mean': 0.019137810915708542, 'packet_std': 0.05877705663442612, 'packet_skewness': 0.05020737648010254, 'packet_kurtosis': 0.0, 'bytes_mean': 0.04078306630253792, 'bytes_std': 0.0, 'bytes_skewness': 0.010490617714822292, 'bytes_kurtosis': 0.009395129047334194, 'duration_mean': 0.03853163868188858, 'duration_std': 0.0, 'duration_skewness': 0.0158432275056839, 'duration_kurtosis': 0.018011262640357018, 'difftimes_mean': 0.0, 'difftimes_std': 0.06432643532752991, 'difftimes_skewness': 0.0100741321220994, 'difftimes_kurtosis': 0.007984833791851997, 'max_power': 0.013059345073997974, 'max_frequency': 0.02161875180900097, 'min_power': 0.04606020078063011, 'min_frequency': 0.0, 'spectral_energy': 0.03939279913902283, 'spectral_entropy': 0.015418469905853271, 'spectral_kurtosis': 0.035634078085422516, 'spectral_skewness': 0.008952691219747066, 'spectral_rolloff': 0.015226905234158039, 'spectral_cetroid': 0.04993892461061478, 'spectral_spread': 0.0, 'spectral_slope': 0.0, 'spectral_crest': 0.0, 'spectral_flux': 0.01668187417089939, 'spectral_bandwidth': 0.009876507334411144}
0;43200;98.06009889691897;98.49498327759197;93.34389857369256;95.85028478437754;[[1989, 9], [42, 589]];[[0.9954954954954955, 0.0045045045045045045], [0.06656101426307448, 0.9334389857369255]];91.85883997204752;81.19266055045871;70.0990099009901;75.23910733262485;[[2275, 82], [151, 354]];[[0.9652100127280441, 0.034789987271955876], [0.299009900990099, 0.700990099009901]];{'packet_value': 0.0, 'packet_value_x': 0.03261946886777878, 'packet_value_y': 0.03759307414293289, 'bytes_value': 0.0, 'bytes_value_x': 0.04327477142214775, 'bytes_value_y': 0.05726277083158493, 'duration_value': 0.06153195723891258, 'duration_value_x': 0.19309422373771667, 'duration_value_y': 0.020571446046233177, 'difftimes_value': 0.0, 'difftimes_value_x': 0.021787717938423157, 'difftimes_value_y': 0.007266512606292963, 'packet_mean': 0.02122548222541809, 'packet_std': 0.04282931238412857, 'packet_skewness': 0.01466157753020525, 'packet_kurtosis': 0.0052596828900277615, 'bytes_mean': 0.05286213383078575, 'bytes_std': 0.024587539955973625, 'bytes_skewness': 0.01106247864663601, 'bytes_kurtosis': 0.008198567666113377, 'duration_mean': 0.04227621480822563, 'duration_std': 0.006890532094985247, 'duration_skewness': 0.017339006066322327, 'duration_kurtosis': 0.0070670186541974545, 'difftimes_mean': 0.005423536989837885, 'difftimes_std': 0.028495734557509422, 'difftimes_skewness': 0.011168028227984905, 'difftimes_kurtosis': 0.011442075483500957, 'max_power': 0.010102611966431141, 'max_frequency': 0.02530023083090782, 'min_power': 0.01999625749886036, 'min_frequency': 0.0057993740774691105, 'spectral_energy': 0.012768501415848732, 'spectral_entropy': 0.011134966276586056, 'spectral_kurtosis': 0.025500547140836716, 'spectral_skewness': 0.008811501786112785, 'spectral_rolloff': 0.016076771542429924, 'spectral_cetroid': 0.0458257682621479, 'spectral_spread': 0.00651060463860631, 'spectral_slope': 0.005618403200060129, 'spectral_crest': 0.004977505654096603, 'spectral_flux': 0.008516037836670876, 'spectral_bandwidth': 0.007270118221640587}
0;21600;98.21109123434705;98.04195804195804;95.11533242876527;96.55647382920111;[[2044, 14], [36, 701]];[[0.9931972789115646, 0.006802721088435374], [0.048846675712347354, 0.9511533242876526]];92.7763272410792;87.99313893653516;74.13294797687861;80.47058823529412;[[2685, 70], [179, 513]];[[0.9745916515426497, 0.025408348457350273], [0.2586705202312139, 0.7413294797687862]];{'packet_value': 0.0, 'packet_value_x': 0.04084557667374611, 'packet_value_y': 0.03818129748106003, 'bytes_value': 0.0, 'bytes_value_x': 0.04217386990785599, 'bytes_value_y': 0.053166430443525314, 'duration_value': 0.06486362963914871, 'duration_value_x': 0.16002817451953888, 'duration_value_y': 0.01968235708773136, 'difftimes_value': 0.0, 'difftimes_value_x': 0.017394309863448143, 'difftimes_value_y': 0.01022146176546812, 'packet_mean': 0.024866724386811256, 'packet_std': 0.04282635822892189, 'packet_skewness': 0.030574141070246696, 'packet_kurtosis': 0.0, 'bytes_mean': 0.052698105573654175, 'bytes_std': 0.031029600650072098, 'bytes_skewness': 0.011046295054256916, 'bytes_kurtosis': 0.007753328885883093, 'duration_mean': 0.038568709045648575, 'duration_std': 0.009080598130822182, 'duration_skewness': 0.020592182874679565, 'duration_kurtosis': 0.008099940605461597, 'difftimes_mean': 0.010449565947055817, 'difftimes_std': 0.03173854574561119, 'difftimes_skewness': 0.0, 'difftimes_kurtosis': 0.014789090491831303, 'max_power': 0.010320151224732399, 'max_frequency': 0.024551717564463615, 'min_power': 0.016325870528817177, 'min_frequency': 0.004807713907212019, 'spectral_energy': 0.015486794523894787, 'spectral_entropy': 0.01133547443896532, 'spectral_kurtosis': 0.025764545425772667, 'spectral_skewness': 0.008879088796675205, 'spectral_rolloff': 0.014285244047641754, 'spectral_cetroid': 0.049353886395692825, 'spectral_spread': 0.0054750689305365086, 'spectral_slope': 0.004729973617941141, 'spectral_crest': 0.007490141317248344, 'spectral_flux': 0.012211160734295845, 'spectral_bandwidth': 0.00831285398453474}
0;14400;97.71564950562563;98.48293299620732;93.4052757793765;95.87692307692308;[[2087, 12], [55, 779]];[[0.9942829919009052, 0.005717008099094807], [0.06594724220623502, 0.934052757793765]];91.28191200434547;80.26666666666667;77.6774193548387;78.95081967213115;[[2759, 148], [173, 602]];[[0.9490884072927417, 0.05091159270725834], [0.2232258064516129, 0.7767741935483871]];{'packet_value': 0.0, 'packet_value_x': 0.0449596643447876, 'packet_value_y': 0.042377520352602005, 'bytes_value': 0.0, 'bytes_value_x': 0.037560246884822845, 'bytes_value_y': 0.07010265439748764, 'duration_value': 0.0907282829284668, 'duration_value_x': 0.1999092996120453, 'duration_value_y': 0.01785372756421566, 'difftimes_value': 0.0, 'difftimes_value_x': 0.01702166348695755, 'difftimes_value_y': 0.006032868288457394, 'packet_mean': 0.023562632501125336, 'packet_std': 0.04128263145685196, 'packet_skewness': 0.016962386667728424, 'packet_kurtosis': 0.0035566771402955055, 'bytes_mean': 0.0706569105386734, 'bytes_std': 0.028529495000839233, 'bytes_skewness': 0.012285125441849232, 'bytes_kurtosis': 0.004624533466994762, 'duration_mean': 0.04194525256752968, 'duration_std': 0.006457964889705181, 'duration_skewness': 0.012494884431362152, 'duration_kurtosis': 0.00447876425459981, 'difftimes_mean': 0.004088814370334148, 'difftimes_std': 0.025385243818163872, 'difftimes_skewness': 0.0049512204714119434, 'difftimes_kurtosis': 0.004939399193972349, 'max_power': 0.008090316317975521, 'max_frequency': 0.018930623307824135, 'min_power': 0.01756833679974079, 'min_frequency': 0.0036674109287559986, 'spectral_energy': 0.01226392574608326, 'spectral_entropy': 0.004654850345104933, 'spectral_kurtosis': 0.020528627559542656, 'spectral_skewness': 0.004751068074256182, 'spectral_rolloff': 0.012155978009104729, 'spectral_cetroid': 0.041391562670469284, 'spectral_spread': 0.0029077138751745224, 'spectral_slope': 0.005008765496313572, 'spectral_crest': 0.004310206975787878, 'spectral_flux': 0.006463896483182907, 'spectral_bandwidth': 0.0045588137581944466}
0;7200;97.0917225950783;98.43400447427292;91.95402298850574;95.08373851971908;[[2158, 14], [77, 880]];[[0.9935543278084714, 0.006445672191528545], [0.08045977011494253, 0.9195402298850575]];93.90503189227498;92.5925925925926;78.37837837837837;84.89461358313817;[[3250, 58], [200, 725]];[[0.9824667472793228, 0.017533252720677146], [0.21621621621621623, 0.7837837837837838]];{'packet_value': 0.0, 'packet_value_x': 0.02906585857272148, 'packet_value_y': 0.03522755578160286, 'bytes_value': 0.0, 'bytes_value_x': 0.037526000291109085, 'bytes_value_y': 0.08636677265167236, 'duration_value': 0.03057706542313099, 'duration_value_x': 0.14503264427185059, 'duration_value_y': 0.018543614074587822, 'difftimes_value': 0.0, 'difftimes_value_x': 0.01268024928867817, 'difftimes_value_y': 0.010409354232251644, 'packet_mean': 0.02093917317688465, 'packet_std': 0.05096512287855148, 'packet_skewness': 0.032144371420145035, 'packet_kurtosis': 0.0, 'bytes_mean': 0.06873076409101486, 'bytes_std': 0.022551000118255615, 'bytes_skewness': 0.008763396181166172, 'bytes_kurtosis': 0.005448291078209877, 'duration_mean': 0.0398162379860878, 'duration_std': 0.009768728166818619, 'duration_skewness': 0.019258419051766396, 'duration_kurtosis': 0.0065973130986094475, 'difftimes_mean': 0.007103073876351118, 'difftimes_std': 0.054129935801029205, 'difftimes_skewness': 0.004893428646028042, 'difftimes_kurtosis': 0.008828897960484028, 'max_power': 0.013946406543254852, 'max_frequency': 0.02250845357775688, 'min_power': 0.0373324416577816, 'min_frequency': 0.0, 'spectral_energy': 0.022739749401807785, 'spectral_entropy': 0.005635633133351803, 'spectral_kurtosis': 0.040144357830286026, 'spectral_skewness': 0.002712903544306755, 'spectral_rolloff': 0.010790444910526276, 'spectral_cetroid': 0.05892682448029518, 'spectral_spread': 0.0, 'spectral_slope': 0.0, 'spectral_crest': 0.0034911062102764845, 'spectral_flux': 0.010902739129960537, 'spectral_bandwidth': 0.005501686129719019}
0;3600;97.7279433461198;98.32089552238806;94.69901168014376;96.47597254004577;[[2258, 18], [59, 1054]];[[0.992091388400703, 0.007908611599297012], [0.053009883198562445, 0.9469901168014375]];92.75040387722132;83.8160136286201;85.34258456201215;84.57241082939407;[[3609, 190], [169, 984]];[[0.9499868386417478, 0.05001316135825217], [0.14657415437987859, 0.8534258456201215]];{'packet_value': 0.0, 'packet_value_x': 0.0447814017534256, 'packet_value_y': 0.0473795011639595, 'bytes_value': 0.0, 'bytes_value_x': 0.03349123150110245, 'bytes_value_y': 0.06825035810470581, 'duration_value': 0.0707097053527832, 'duration_value_x': 0.20193542540073395, 'duration_value_y': 0.019111406058073044, 'difftimes_value': 0.0, 'difftimes_value_x': 0.01703113317489624, 'difftimes_value_y': 0.0071397749707102776, 'packet_mean': 0.021319061517715454, 'packet_std': 0.05758332088589668, 'packet_skewness': 0.02852088026702404, 'packet_kurtosis': 0.0, 'bytes_mean': 0.0658496543765068, 'bytes_std': 0.01938098482787609, 'bytes_skewness': 0.010686852037906647, 'bytes_kurtosis': 0.00801723264157772, 'duration_mean': 0.041348621249198914, 'duration_std': 0.007966464385390282, 'duration_skewness': 0.011036939918994904, 'duration_kurtosis': 0.004657818470150232, 'difftimes_mean': 0.013286158442497253, 'difftimes_std': 0.02241222746670246, 'difftimes_skewness': 0.00783444195985794, 'difftimes_kurtosis': 0.0061028036288917065, 'max_power': 0.008673849515616894, 'max_frequency': 0.014798007905483246, 'min_power': 0.018469516187906265, 'min_frequency': 0.0, 'spectral_energy': 0.018097899854183197, 'spectral_entropy': 0.009182757697999477, 'spectral_kurtosis': 0.015639998018741608, 'spectral_skewness': 0.0, 'spectral_rolloff': 0.010791380889713764, 'spectral_cetroid': 0.028813093900680542, 'spectral_spread': 0.007055598311126232, 'spectral_slope': 0.007145972922444344, 'spectral_crest': 0.006091404240578413, 'spectral_flux': 0.010665420442819595, 'spectral_bandwidth': 0.008741640485823154}
0;1800;97.8596159899276;98.54318418314256;94.60539460539461;96.53414882772681;[[2162, 14], [54, 947]];[[0.9935661764705882, 0.006433823529411764], [0.053946053946053944, 0.9460539460539461]];94.64285714285714;94.24157303370787;86.69250645994832;90.30955585464334;[[3746, 82], [206, 1342]];[[0.9785788923719958, 0.021421107628004178], [0.1330749354005168, 0.8669250645994832]];{'packet_value': 0.0, 'packet_value_x': 0.03953421488404274, 'packet_value_y': 0.040115389972925186, 'bytes_value': 0.0, 'bytes_value_x': 0.033207934349775314, 'bytes_value_y': 0.05942971631884575, 'duration_value': 0.07004445791244507, 'duration_value_x': 0.2052668184041977, 'duration_value_y': 0.020015833899378777, 'difftimes_value': 0.0, 'difftimes_value_x': 0.015402018092572689, 'difftimes_value_y': 0.006522853393107653, 'packet_mean': 0.026227349415421486, 'packet_std': 0.04417324438691139, 'packet_skewness': 0.038042083382606506, 'packet_kurtosis': 0.005736094433814287, 'bytes_mean': 0.0809139534831047, 'bytes_std': 0.03408106788992882, 'bytes_skewness': 0.009978403337299824, 'bytes_kurtosis': 0.005328843370079994, 'duration_mean': 0.040804117918014526, 'duration_std': 0.009979951195418835, 'duration_skewness': 0.012922539375722408, 'duration_kurtosis': 0.005671301390975714, 'difftimes_mean': 0.00783766433596611, 'difftimes_std': 0.022037498652935028, 'difftimes_skewness': 0.007361200172454119, 'difftimes_kurtosis': 0.0051184967160224915, 'max_power': 0.009893146343529224, 'max_frequency': 0.013258649036288261, 'min_power': 0.01276303455233574, 'min_frequency': 0.005163027439266443, 'spectral_energy': 0.014939799904823303, 'spectral_entropy': 0.004354327451437712, 'spectral_kurtosis': 0.01232075598090887, 'spectral_skewness': 0.004058061633259058, 'spectral_rolloff': 0.009364839643239975, 'spectral_cetroid': 0.040672969073057175, 'spectral_spread': 0.0033852027263492346, 'spectral_slope': 0.004630936309695244, 'spectral_crest': 0.00414039334282279, 'spectral_flux': 0.009725003503262997, 'spectral_bandwidth': 0.00557679170742631}
0;900;97.50901343821697;98.81593110871906;93.38758901322483;96.02510460251047;[[2057, 11], [65, 918]];[[0.9946808510638298, 0.005319148936170213], [0.06612410986775177, 0.9338758901322483]];93.46524775523778;88.58225108225109;89.99450247388675;89.2827924734115;[[3984, 211], [182, 1637]];[[0.9497020262216925, 0.05029797377830751], [0.1000549752611325, 0.8999450247388675]];{'packet_value': 0.006836166605353355, 'packet_value_x': 0.03328355774283409, 'packet_value_y': 0.04412233829498291, 'bytes_value': 0.0, 'bytes_value_x': 0.025219760835170746, 'bytes_value_y': 0.04609163850545883, 'duration_value': 0.04761824011802673, 'duration_value_x': 0.15877386927604675, 'duration_value_y': 0.016190189868211746, 'difftimes_value': 0.0, 'difftimes_value_x': 0.014898154884576797, 'difftimes_value_y': 0.011638127267360687, 'packet_mean': 0.019515445455908775, 'packet_std': 0.06923014670610428, 'packet_skewness': 0.03890448063611984, 'packet_kurtosis': 0.0, 'bytes_mean': 0.05003800615668297, 'bytes_std': 0.02440536394715309, 'bytes_skewness': 0.00838884711265564, 'bytes_kurtosis': 0.0, 'duration_mean': 0.0341050922870636, 'duration_std': 0.013645024038851261, 'duration_skewness': 0.05184059590101242, 'duration_kurtosis': 0.012395361438393593, 'difftimes_mean': 0.01152227446436882, 'difftimes_std': 0.02793448604643345, 'difftimes_skewness': 0.009721506386995316, 'difftimes_kurtosis': 0.009290738962590694, 'max_power': 0.019258683547377586, 'max_frequency': 0.012704924680292606, 'min_power': 0.03846678510308266, 'min_frequency': 0.0, 'spectral_energy': 0.018756333738565445, 'spectral_entropy': 0.01159745268523693, 'spectral_kurtosis': 0.01464227307587862, 'spectral_skewness': 0.0, 'spectral_rolloff': 0.012679298408329487, 'spectral_cetroid': 0.054496631026268005, 'spectral_spread': 0.0, 'spectral_slope': 0.007183181121945381, 'spectral_crest': 0.0, 'spectral_flux': 0.015103359706699848, 'spectral_bandwidth': 0.009501739405095577}
0;600;97.79411764705883;97.94816414686825;95.0733752620545;96.48936170212767;[[2019, 19], [47, 907]];[[0.9906771344455348, 0.009322865554465163], [0.049266247379454925, 0.950733752620545]];93.17361339021988;87.97071129707112;90.04282655246253;88.99470899470899;[[3996, 230], [186, 1682]];[[0.9455750118315192, 0.054424988168480834], [0.09957173447537473, 0.9004282655246253]];{'packet_value': 0.005702232010662556, 'packet_value_x': 0.04825438931584358, 'packet_value_y': 0.04186052083969116, 'bytes_value': 0.0, 'bytes_value_x': 0.029962208122015, 'bytes_value_y': 0.062401093542575836, 'duration_value': 0.06945452094078064, 'duration_value_x': 0.1760154366493225, 'duration_value_y': 0.01849992945790291, 'difftimes_value': 0.0, 'difftimes_value_x': 0.01618502475321293, 'difftimes_value_y': 0.006983811967074871, 'packet_mean': 0.023883042857050896, 'packet_std': 0.05771677941083908, 'packet_skewness': 0.011514355428516865, 'packet_kurtosis': 0.0, 'bytes_mean': 0.06500688195228577, 'bytes_std': 0.028737109154462814, 'bytes_skewness': 0.013002746738493443, 'bytes_kurtosis': 0.0108581418171525, 'duration_mean': 0.04081087186932564, 'duration_std': 0.012353220023214817, 'duration_skewness': 0.013454467989504337, 'duration_kurtosis': 0.019040072336792946, 'difftimes_mean': 0.006003032438457012, 'difftimes_std': 0.028929950669407845, 'difftimes_skewness': 0.008401029743254185, 'difftimes_kurtosis': 0.012652821838855743, 'max_power': 0.008851412683725357, 'max_frequency': 0.01608358696103096, 'min_power': 0.01975339651107788, 'min_frequency': 0.007346647791564465, 'spectral_energy': 0.02938803844153881, 'spectral_entropy': 0.008962925523519516, 'spectral_kurtosis': 0.012351252138614655, 'spectral_skewness': 0.0, 'spectral_rolloff': 0.01275351271033287, 'spectral_cetroid': 0.03513755649328232, 'spectral_spread': 0.005238314624875784, 'spectral_slope': 0.0, 'spectral_crest': 0.0, 'spectral_flux': 0.012153810821473598, 'spectral_bandwidth': 0.0042958552949130535}
1;86400;97.32142857142857;98.01587301587301;89.81818181818181;93.7381404174573;[[1904, 10], [56, 494]];[[0.9947753396029259, 0.00522466039707419], [0.10181818181818182, 0.8981818181818182]];92.69829503335805;85.55555555555556;67.99116997792495;75.76875768757688;[[2193, 52], [145, 308]];[[0.976837416481069, 0.023162583518930958], [0.3200883002207506, 0.6799116997792495]];{'packet_value': 0.0, 'packet_value_x': 0.03553645312786102, 'packet_value_y': 0.03276076167821884, 'bytes_value': 0.0, 'bytes_value_x': 0.03401917964220047, 'bytes_value_y': 0.04821037873625755, 'duration_value': 0.08750441670417786, 'duration_value_x': 0.17193841934204102, 'duration_value_y': 0.020566167309880257, 'difftimes_value': 0.0, 'difftimes_value_x': 0.02267514355480671, 'difftimes_value_y': 0.008176762610673904, 'packet_mean': 0.019889429211616516, 'packet_std': 0.04521432891488075, 'packet_skewness': 0.016534848138689995, 'packet_kurtosis': 0.004552396014332771, 'bytes_mean': 0.05582874268293381, 'bytes_std': 0.02421078458428383, 'bytes_skewness': 0.011856606230139732, 'bytes_kurtosis': 0.007294491399079561, 'duration_mean': 0.04118458181619644, 'duration_std': 0.00705978786572814, 'duration_skewness': 0.016626987606287003, 'duration_kurtosis': 0.008427328430116177, 'difftimes_mean': 0.0047109900042414665, 'difftimes_std': 0.03125763311982155, 'difftimes_skewness': 0.009892075322568417, 'difftimes_kurtosis': 0.007029693573713303, 'max_power': 0.010615556500852108, 'max_frequency': 0.02506077103316784, 'min_power': 0.01947982981801033, 'min_frequency': 0.005672787316143513, 'spectral_energy': 0.011068733409047127, 'spectral_entropy': 0.009829023852944374, 'spectral_kurtosis': 0.02742389775812626, 'spectral_skewness': 0.010231927037239075, 'spectral_rolloff': 0.013479567132890224, 'spectral_cetroid': 0.059104446321725845, 'spectral_spread': 0.004690806847065687, 'spectral_slope': 0.007173693738877773, 'spectral_crest': 0.004661595914512873, 'spectral_flux': 0.01008443720638752, 'spectral_bandwidth': 0.008464506827294827}
