INDEX;TIME_CUTTING;accuracy;precision;recall;F1;matrix;percentage_matrix;accuracy_validation;precision_validation;recall_validation;F1_validation;matrix_validation;percentage_matrix_validation;feature_importance
0;86400;97.70594369134515;98.91696750902527;93.51535836177474;96.14035087719299;[[663, 3], [19, 274]];[[0.9954954954954955, 0.0045045045045045045], [0.06484641638225255, 0.9351535836177475]];97.49582637729549;97.76536312849163;94.08602150537635;95.89041095890411;[[818, 8], [22, 350]];[[0.9903147699757869, 0.009685230024213076], [0.05913978494623656, 0.9408602150537635]];{'packet_value': 0.0, 'packet_value_x': 0.03475441411137581, 'packet_value_y': 0.052392587065696716, 'bytes_value': 0.0, 'bytes_value_x': 0.036740001291036606, 'bytes_value_y': 0.09446218609809875, 'duration_value': 0.017483938485383987, 'duration_value_x': 0.1241958737373352, 'duration_value_y': 0.010255695320665836, 'difftimes_value': 0.0, 'difftimes_value_x': 0.016932683065533638, 'difftimes_value_y': 0.0, 'packet_mean': 0.018653936684131622, 'packet_std': 0.05455553159117699, 'packet_skewness': 0.01735936850309372, 'packet_kurtosis': 0.0, 'bytes_mean': 0.04822103679180145, 'bytes_std': 0.01845821924507618, 'bytes_skewness': 0.03636005520820618, 'bytes_kurtosis': 0.0, 'duration_mean': 0.024904020130634308, 'duration_std': 0.0, 'duration_skewness': 0.024509716778993607, 'duration_kurtosis': 0.016295911744236946, 'difftimes_mean': 0.0, 'difftimes_std': 0.044199418276548386, 'difftimes_skewness': 0.011640290729701519, 'difftimes_kurtosis': 0.012429391033947468, 'max_power': 0.024509532377123833, 'max_frequency': 0.029503319412469864, 'min_power': 0.02708238549530506, 'min_frequency': 0.0, 'spectral_energy': 0.016137542203068733, 'spectral_entropy': 0.012295132502913475, 'spectral_kurtosis': 0.0239773690700531, 'spectral_skewness': 0.0, 'spectral_rolloff': 0.015117969363927841, 'spectral_cetroid': 0.09279606491327286, 'spectral_spread': 0.00746518187224865, 'spectral_slope': 0.0, 'spectral_crest': 0.005132313817739487, 'spectral_flux': 0.019282447174191475, 'spectral_bandwidth': 0.011896448209881783}
0;43200;98.63813229571986;99.68051118210862;96.0;97.80564263322883;[[702, 1], [13, 312]];[[0.9985775248933144, 0.001422475106685633], [0.04, 0.96]];97.74143302180686;98.79807692307693;94.48275862068965;96.59224441833139;[[844, 5], [24, 411]];[[0.9941107184923439, 0.005889281507656066], [0.05517241379310345, 0.9448275862068966]];{'packet_value': 0.0, 'packet_value_x': 0.03398478776216507, 'packet_value_y': 0.028268974274396896, 'bytes_value': 0.0, 'bytes_value_x': 0.033175963908433914, 'bytes_value_y': 0.0882948786020279, 'duration_value': 0.031734757125377655, 'duration_value_x': 0.13722188770771027, 'duration_value_y': 0.010903614573180676, 'difftimes_value': 0.0, 'difftimes_value_x': 0.018289929255843163, 'difftimes_value_y': 0.0, 'packet_mean': 0.01422044076025486, 'packet_std': 0.03449888899922371, 'packet_skewness': 0.028896847739815712, 'packet_kurtosis': 0.0, 'bytes_mean': 0.06834294646978378, 'bytes_std': 0.014135642908513546, 'bytes_skewness': 0.03303241729736328, 'bytes_kurtosis': 0.0049117859452962875, 'duration_mean': 0.021204719319939613, 'duration_std': 0.0036783211398869753, 'duration_skewness': 0.025176089257001877, 'duration_kurtosis': 0.011875107884407043, 'difftimes_mean': 0.00694042956456542, 'difftimes_std': 0.047970376908779144, 'difftimes_skewness': 0.007286438252776861, 'difftimes_kurtosis': 0.0066925957798957825, 'max_power': 0.018969599157571793, 'max_frequency': 0.032220833003520966, 'min_power': 0.03278554230928421, 'min_frequency': 0.004520270507782698, 'spectral_energy': 0.021567802876234055, 'spectral_entropy': 0.005869023501873016, 'spectral_kurtosis': 0.02675117366015911, 'spectral_skewness': 0.0054614064283668995, 'spectral_rolloff': 0.025656312704086304, 'spectral_cetroid': 0.08976943790912628, 'spectral_spread': 0.006361596751958132, 'spectral_slope': 0.0, 'spectral_crest': 0.0, 'spectral_flux': 0.009569510817527771, 'spectral_bandwidth': 0.009759592823684216}
0;21600;98.19391634980988;99.39024390243902;95.04373177842565;97.16840536512667;[[707, 2], [17, 326]];[[0.997179125528914, 0.0028208744710860366], [0.04956268221574344, 0.9504373177842566]];97.64079147640791;98.99749373433583;93.60189573459715;96.22411693057248;[[888, 4], [27, 395]];[[0.9955156950672646, 0.004484304932735426], [0.06398104265402843, 0.9360189573459715]];{'packet_value': 0.0, 'packet_value_x': 0.035912446677684784, 'packet_value_y': 0.033804986625909805, 'bytes_value': 0.0, 'bytes_value_x': 0.05378327891230583, 'bytes_value_y': 0.0883471742272377, 'duration_value': 0.05643849074840546, 'duration_value_x': 0.22587333619594574, 'duration_value_y': 0.014748203568160534, 'difftimes_value': 0.0, 'difftimes_value_x': 0.021156245842576027, 'difftimes_value_y': 0.006146421190351248, 'packet_mean': 0.01753445900976658, 'packet_std': 0.03539068251848221, 'packet_skewness': 0.01161839347332716, 'packet_kurtosis': 0.0033980298321694136, 'bytes_mean': 0.06098940968513489, 'bytes_std': 0.0, 'bytes_skewness': 0.02327396161854267, 'bytes_kurtosis': 0.006654483266174793, 'duration_mean': 0.03232733532786369, 'duration_std': 0.0, 'duration_skewness': 0.0172142144292593, 'duration_kurtosis': 0.010399158112704754, 'difftimes_mean': 0.010316852480173111, 'difftimes_std': 0.02235216274857521, 'difftimes_skewness': 0.005270525347441435, 'difftimes_kurtosis': 0.007448283489793539, 'max_power': 0.012141535058617592, 'max_frequency': 0.029604194685816765, 'min_power': 0.020237458869814873, 'min_frequency': 0.0046051922254264355, 'spectral_energy': 0.012410294264554977, 'spectral_entropy': 0.008029009215533733, 'spectral_kurtosis': 0.021062096580863, 'spectral_skewness': 0.004691406153142452, 'spectral_rolloff': 0.022038031369447708, 'spectral_cetroid': 0.03917310759425163, 'spectral_spread': 0.006403778679668903, 'spectral_slope': 0.0, 'spectral_crest': 0.0, 'spectral_flux': 0.012711488641798496, 'spectral_bandwidth': 0.0064938426949083805}
0;14400;98.68421052631578;99.41002949852508;96.56160458452722;97.96511627906976;[[713, 2], [12, 337]];[[0.9972027972027973, 0.002797202797202797], [0.034383954154727794, 0.9656160458452722]];98.1188863807374;98.79807692307693;95.35962877030161;97.04840613931523;[[893, 5], [20, 411]];[[0.9944320712694877, 0.005567928730512249], [0.04640371229698376, 0.9535962877030162]];{'packet_value': 0.0, 'packet_value_x': 0.02965898998081684, 'packet_value_y': 0.03519444912672043, 'bytes_value': 0.0, 'bytes_value_x': 0.044238634407520294, 'bytes_value_y': 0.0744885578751564, 'duration_value': 0.0, 'duration_value_x': 0.16864193975925446, 'duration_value_y': 0.016734885051846504, 'difftimes_value': 0.0, 'difftimes_value_x': 0.018220650032162666, 'difftimes_value_y': 0.008296375162899494, 'packet_mean': 0.014868183061480522, 'packet_std': 0.031123895198106766, 'packet_skewness': 0.018949240446090698, 'packet_kurtosis': 0.0, 'bytes_mean': 0.0727468952536583, 'bytes_std': 0.031544752418994904, 'bytes_skewness': 0.019726958125829697, 'bytes_kurtosis': 0.005783253349363804, 'duration_mean': 0.028812270611524582, 'duration_std': 0.011388977989554405, 'duration_skewness': 0.01918330416083336, 'duration_kurtosis': 0.009719652123749256, 'difftimes_mean': 0.010044127702713013, 'difftimes_std': 0.05191028118133545, 'difftimes_skewness': 0.0, 'difftimes_kurtosis': 0.008277096785604954, 'max_power': 0.01418395061045885, 'max_frequency': 0.025767745450139046, 'min_power': 0.028036275878548622, 'min_frequency': 0.0027921597938984632, 'spectral_energy': 0.020395053550601006, 'spectral_entropy': 0.009500393643975258, 'spectral_kurtosis': 0.028623849153518677, 'spectral_skewness': 0.006092740222811699, 'spectral_rolloff': 0.018572242930531502, 'spectral_cetroid': 0.0789148285984993, 'spectral_spread': 0.006767782848328352, 'spectral_slope': 0.003763624932616949, 'spectral_crest': 0.005256034899502993, 'spectral_flux': 0.012715880759060383, 'spectral_bandwidth': 0.009064068086445332}
0;7200;98.78048780487805;99.69879518072288;96.50145772594753;98.07407407407408;[[722, 1], [12, 331]];[[0.9986168741355463, 0.0013831258644536654], [0.03498542274052478, 0.9650145772594753]];98.12312312312312;99.00497512437812;94.98806682577565;96.95493300852618;[[909, 4], [21, 398]];[[0.9956188389923329, 0.004381161007667032], [0.050119331742243436, 0.9498806682577565]];{'packet_value': 0.0, 'packet_value_x': 0.03133026137948036, 'packet_value_y': 0.031231530010700226, 'bytes_value': 0.0, 'bytes_value_x': 0.04541001841425896, 'bytes_value_y': 0.07700483500957489, 'duration_value': 0.07010786980390549, 'duration_value_x': 0.2333858609199524, 'duration_value_y': 0.010812208987772465, 'difftimes_value': 0.0, 'difftimes_value_x': 0.02362426556646824, 'difftimes_value_y': 0.005980503745377064, 'packet_mean': 0.014312450774013996, 'packet_std': 0.03551700338721275, 'packet_skewness': 0.009967946447432041, 'packet_kurtosis': 0.0, 'bytes_mean': 0.05728398263454437, 'bytes_std': 0.01713031716644764, 'bytes_skewness': 0.01856488175690174, 'bytes_kurtosis': 0.006301680114120245, 'duration_mean': 0.024945128709077835, 'duration_std': 0.008877195417881012, 'duration_skewness': 0.013929854147136211, 'duration_kurtosis': 0.009621205739676952, 'difftimes_mean': 0.008305954746901989, 'difftimes_std': 0.022262753918766975, 'difftimes_skewness': 0.0, 'difftimes_kurtosis': 0.005848433822393417, 'max_power': 0.01798795722424984, 'max_frequency': 0.026583131402730942, 'min_power': 0.01886708475649357, 'min_frequency': 0.004864356946200132, 'spectral_energy': 0.014295167289674282, 'spectral_entropy': 0.00916921067982912, 'spectral_kurtosis': 0.024425476789474487, 'spectral_skewness': 0.00539712980389595, 'spectral_rolloff': 0.019574346020817757, 'spectral_cetroid': 0.037008561193943024, 'spectral_spread': 0.010167023167014122, 'spectral_slope': 0.004581186454743147, 'spectral_crest': 0.006707289721816778, 'spectral_flux': 0.011945649981498718, 'spectral_bandwidth': 0.0066703022457659245}
0;3600;98.7758945386064;99.68652037617555;96.36363636363636;97.9969183359014;[[731, 1], [12, 318]];[[0.9986338797814208, 0.001366120218579235], [0.03636363636363636, 0.9636363636363636]];98.34087481146304;98.40848806366049;95.8656330749354;97.12041884816755;[[933, 6], [16, 371]];[[0.9936102236421726, 0.006389776357827476], [0.041343669250646, 0.958656330749354]];{'packet_value': 0.0, 'packet_value_x': 0.02426542527973652, 'packet_value_y': 0.022657319903373718, 'bytes_value': 0.0, 'bytes_value_x': 0.04437732324004173, 'bytes_value_y': 0.09836665540933609, 'duration_value': 0.04585535079240799, 'duration_value_x': 0.14259274303913116, 'duration_value_y': 0.010917365550994873, 'difftimes_value': 0.0, 'difftimes_value_x': 0.02011392079293728, 'difftimes_value_y': 0.007791630923748016, 'packet_mean': 0.012795349583029747, 'packet_std': 0.030950307846069336, 'packet_skewness': 0.006470296531915665, 'packet_kurtosis': 0.00399135984480381, 'bytes_mean': 0.08342737704515457, 'bytes_std': 0.012361297383904457, 'bytes_skewness': 0.024870745837688446, 'bytes_kurtosis': 0.0059802355244755745, 'duration_mean': 0.020213289186358452, 'duration_std': 0.009302586317062378, 'duration_skewness': 0.025661485269665718, 'duration_kurtosis': 0.013714749366044998, 'difftimes_mean': 0.006944936700165272, 'difftimes_std': 0.03145477548241615, 'difftimes_skewness': 0.0054959580302238464, 'difftimes_kurtosis': 0.007451018318533897, 'max_power': 0.017955806106328964, 'max_frequency': 0.03035334125161171, 'min_power': 0.04300939664244652, 'min_frequency': 0.0, 'spectral_energy': 0.015603117644786835, 'spectral_entropy': 0.01149991899728775, 'spectral_kurtosis': 0.04080605134367943, 'spectral_skewness': 0.0054037547670304775, 'spectral_rolloff': 0.02187003567814827, 'spectral_cetroid': 0.06333114206790924, 'spectral_spread': 0.007972084917128086, 'spectral_slope': 0.004041304346174002, 'spectral_crest': 0.005393950268626213, 'spectral_flux': 0.00817799475044012, 'spectral_bandwidth': 0.006558620370924473}
0;1800;98.64077669902913;99.65986394557824;95.75163398692811;97.66666666666667;[[723, 1], [13, 293]];[[0.9986187845303868, 0.0013812154696132596], [0.042483660130718956, 0.9575163398692811]];97.04739704739704;99.1044776119403;90.46321525885558;94.5868945868946;[[917, 3], [35, 332]];[[0.9967391304347826, 0.003260869565217391], [0.09536784741144415, 0.9046321525885559]];{'packet_value': 0.0, 'packet_value_x': 0.022744327783584595, 'packet_value_y': 0.03092113696038723, 'bytes_value': 0.0, 'bytes_value_x': 0.029420260339975357, 'bytes_value_y': 0.0618828684091568, 'duration_value': 0.014569267630577087, 'duration_value_x': 0.10975733399391174, 'duration_value_y': 0.013430117629468441, 'difftimes_value': 0.0, 'difftimes_value_x': 0.012919389642775059, 'difftimes_value_y': 0.011854765936732292, 'packet_mean': 0.010331923142075539, 'packet_std': 0.02796727977693081, 'packet_skewness': 0.0, 'packet_kurtosis': 0.0, 'bytes_mean': 0.0399019829928875, 'bytes_std': 0.0, 'bytes_skewness': 0.03663116693496704, 'bytes_kurtosis': 0.0, 'duration_mean': 0.016860481351614, 'duration_std': 0.0, 'duration_skewness': 0.022393977269530296, 'duration_kurtosis': 0.013558488339185715, 'difftimes_mean': 0.01269544381648302, 'difftimes_std': 0.03358845412731171, 'difftimes_skewness': 0.0, 'difftimes_kurtosis': 0.009234541095793247, 'max_power': 0.021083418279886246, 'max_frequency': 0.021281857043504715, 'min_power': 0.05021495372056961, 'min_frequency': 0.0, 'spectral_energy': 0.03389272838830948, 'spectral_entropy': 0.0, 'spectral_kurtosis': 0.23388803005218506, 'spectral_skewness': 0.0, 'spectral_rolloff': 0.011255086399614811, 'spectral_cetroid': 0.08310019969940186, 'spectral_spread': 0.0, 'spectral_slope': 0.0, 'spectral_crest': 0.0, 'spectral_flux': 0.014620499685406685, 'spectral_bandwidth': 0.0}
0;900;97.65784114052953;98.07692307692307;93.4065934065934;95.68480300187619;[[704, 5], [18, 255]];[[0.9929478138222849, 0.007052186177715092], [0.06593406593406594, 0.9340659340659341]];97.38988580750407;99.11764705882354;92.07650273224044;95.46742209631728;[[857, 3], [29, 337]];[[0.9965116279069768, 0.0034883720930232558], [0.07923497267759563, 0.9207650273224044]];{'packet_value': 0.0, 'packet_value_x': 0.024736670777201653, 'packet_value_y': 0.026193710044026375, 'bytes_value': 0.0, 'bytes_value_x': 0.045306719839572906, 'bytes_value_y': 0.07415440678596497, 'duration_value': 0.027684614062309265, 'duration_value_x': 0.2842675447463989, 'duration_value_y': 0.00799672119319439, 'difftimes_value': 0.0, 'difftimes_value_x': 0.022422542795538902, 'difftimes_value_y': 0.0050643207505345345, 'packet_mean': 0.00820000097155571, 'packet_std': 0.032107919454574585, 'packet_skewness': 0.009321094490587711, 'packet_kurtosis': 0.0038677388802170753, 'bytes_mean': 0.07655247300863266, 'bytes_std': 0.012704309076070786, 'bytes_skewness': 0.021565860137343407, 'bytes_kurtosis': 0.005481410771608353, 'duration_mean': 0.026413867250084877, 'duration_std': 0.005682520568370819, 'duration_skewness': 0.01684858649969101, 'duration_kurtosis': 0.00830863881856203, 'difftimes_mean': 0.0055647846311330795, 'difftimes_std': 0.02223474346101284, 'difftimes_skewness': 0.004121811594814062, 'difftimes_kurtosis': 0.007050269283354282, 'max_power': 0.014028102159500122, 'max_frequency': 0.025780463591217995, 'min_power': 0.018212594091892242, 'min_frequency': 0.004324931185692549, 'spectral_energy': 0.023021146655082703, 'spectral_entropy': 0.0065028974786400795, 'spectral_kurtosis': 0.02100653201341629, 'spectral_skewness': 0.002519218483939767, 'spectral_rolloff': 0.02031397633254528, 'spectral_cetroid': 0.0560833141207695, 'spectral_spread': 0.006174993701279163, 'spectral_slope': 0.0032894988544285297, 'spectral_crest': 0.0, 'spectral_flux': 0.009856837801635265, 'spectral_bandwidth': 0.005032255779951811}
0;600;97.29166666666667;99.16666666666667;90.83969465648855;94.82071713147411;[[696, 2], [24, 238]];[[0.997134670487106, 0.0028653295128939827], [0.0916030534351145, 0.9083969465648855]];96.3302752293578;97.63513513513513;88.65030674846625;92.92604501607717;[[866, 7], [37, 289]];[[0.9919816723940436, 0.008018327605956471], [0.11349693251533742, 0.8865030674846626]];{'packet_value': 0.0, 'packet_value_x': 0.028320886194705963, 'packet_value_y': 0.027128970250487328, 'bytes_value': 0.0, 'bytes_value_x': 0.0389147512614727, 'bytes_value_y': 0.05641348287463188, 'duration_value': 0.0, 'duration_value_x': 0.1711708903312683, 'duration_value_y': 0.011690131388604641, 'difftimes_value': 0.0, 'difftimes_value_x': 0.02473679929971695, 'difftimes_value_y': 0.0, 'packet_mean': 0.01051071286201477, 'packet_std': 0.03282693028450012, 'packet_skewness': 0.013164570555090904, 'packet_kurtosis': 0.0, 'bytes_mean': 0.061651069670915604, 'bytes_std': 0.0237325057387352, 'bytes_skewness': 0.02476407401263714, 'bytes_kurtosis': 0.007933968678116798, 'duration_mean': 0.026342229917645454, 'duration_std': 0.01067938469350338, 'duration_skewness': 0.02502400428056717, 'duration_kurtosis': 0.013565517030656338, 'difftimes_mean': 0.008938473649322987, 'difftimes_std': 0.04643339663743973, 'difftimes_skewness': 0.0, 'difftimes_kurtosis': 0.011401168070733547, 'max_power': 0.017254937440156937, 'max_frequency': 0.03273831680417061, 'min_power': 0.055064599961042404, 'min_frequency': 0.0, 'spectral_energy': 0.026775861158967018, 'spectral_entropy': 0.0, 'spectral_kurtosis': 0.0634608119726181, 'spectral_skewness': 0.004936291836202145, 'spectral_rolloff': 0.015267157927155495, 'spectral_cetroid': 0.09440035372972488, 'spectral_spread': 0.0, 'spectral_slope': 0.0, 'spectral_crest': 0.0, 'spectral_flux': 0.007009462919086218, 'spectral_bandwidth': 0.007748225703835487}
1;86400;97.8102189781022;99.27536231884058;93.51535836177474;96.30931458699472;[[664, 2], [19, 274]];[[0.996996996996997, 0.003003003003003003], [0.06484641638225255, 0.9351535836177475]];96.99499165275459;98.55491329479769;91.66666666666666;94.98607242339834;[[821, 5], [31, 341]];[[0.9939467312348669, 0.006053268765133172], [0.08333333333333333, 0.9166666666666666]];{'packet_value': 0.0, 'packet_value_x': 0.042360737919807434, 'packet_value_y': 0.0541602186858654, 'bytes_value': 0.0, 'bytes_value_x': 0.04222423583269119, 'bytes_value_y': 0.07049292325973511, 'duration_value': 0.025723014026880264, 'duration_value_x': 0.14721854031085968, 'duration_value_y': 0.01696300506591797, 'difftimes_value': 0.0, 'difftimes_value_x': 0.01943032443523407, 'difftimes_value_y': 0.007530308794230223, 'packet_mean': 0.02336527593433857, 'packet_std': 0.06769856065511703, 'packet_skewness': 0.029829801991581917, 'packet_kurtosis': 0.0, 'bytes_mean': 0.058819305151700974, 'bytes_std': 0.018031001091003418, 'bytes_skewness': 0.025321273133158684, 'bytes_kurtosis': 0.010901025496423244, 'duration_mean': 0.024051249027252197, 'duration_std': 0.0, 'duration_skewness': 0.019935259595513344, 'duration_kurtosis': 0.010767386294901371, 'difftimes_mean': 0.010646386072039604, 'difftimes_std': 0.026758547872304916, 'difftimes_skewness': 0.0, 'difftimes_kurtosis': 0.014669617637991905, 'max_power': 0.0189838707447052, 'max_frequency': 0.025908565148711205, 'min_power': 0.024108028039336205, 'min_frequency': 0.0, 'spectral_energy': 0.023945901542901993, 'spectral_entropy': 0.017692042514681816, 'spectral_kurtosis': 0.021144839003682137, 'spectral_skewness': 0.0, 'spectral_rolloff': 0.01954101026058197, 'spectral_cetroid': 0.05054321885108948, 'spectral_spread': 0.0, 'spectral_slope': 0.0, 'spectral_crest': 0.0, 'spectral_flux': 0.02268894389271736, 'spectral_bandwidth': 0.008545564487576485}
